广东电信-组播1,#genre#
天津卫视,http://183.236.43.98:4111/udp/239.77.1.37:5146
重庆卫视,http://183.236.43.98:4111/udp/239.77.0.182:5146
重庆卫视,http://183.236.43.98:4111/udp/239.77.1.162:5146
重庆卫视,http://183.236.43.98:4111/udp/239.77.1.16:5146
东南卫视,http://183.236.43.98:4111/udp/239.77.0.146:5146
东南卫视,http://183.236.43.98:4111/udp/239.77.1.104:5146
河北卫视,http://183.236.43.98:4111/udp/239.77.0.148:5146
河北卫视,http://183.236.43.98:4111/udp/239.77.1.214:5146
河南卫视,http://183.236.43.98:4111/udp/239.77.0.17:5146
河南卫视,http://183.236.43.98:4111/udp/239.77.1.229:5146
湖北卫视,http://183.236.43.98:4111/udp/239.77.1.93:5146
湖北卫视,http://183.236.43.98:4111/udp/239.77.0.95:5146
湖北卫视,http://183.236.43.98:4111/udp/239.77.0.128:5146
湖北卫视,http://183.236.43.98:4111/udp/239.77.1.174:5146
陕西卫视,http://183.236.43.98:4111/udp/239.77.0.68:5146
四川卫视,http://183.236.43.98:4111/udp/239.77.0.159:5146
四川卫视,http://183.236.43.98:4111/udp/239.77.0.163:5146
四川卫视,http://183.236.43.98:4111/udp/239.77.1.215:5146
四川卫视,http://183.236.43.98:4111/udp/239.77.1.30:5146
海南卫视,http://183.236.43.98:4111/udp/239.253.43.35:5146
海南卫视,http://183.236.43.98:4111/udp/239.253.43.101:5146
甘肃卫视,http://183.236.43.98:4111/udp/239.77.0.189:5146
广西卫视,http://183.236.43.98:4111/udp/239.77.0.139:5146
广西卫视,http://183.236.43.98:4111/udp/239.253.43.36:5146
贵州卫视,http://183.236.43.98:4111/udp/239.77.0.230:5146
贵州卫视,http://183.236.43.98:4111/udp/239.77.1.221:5146
黑龙江卫视,http://183.236.43.98:4111/udp/239.77.0.93:5146
黑龙江卫视,http://183.236.43.98:4111/udp/239.77.0.124:5146
黑龙江卫视,http://183.236.43.98:4111/udp/239.77.1.6:5146
黑龙江卫视,http://183.236.43.98:4111/udp/239.77.1.179:5146
江西卫视,http://183.236.43.98:4111/udp/239.77.0.149:5146
江西卫视,http://183.236.43.98:4111/udp/239.77.1.219:5146
吉林卫视,http://183.236.43.98:4111/udp/239.77.0.150:5146
吉林卫视,http://183.236.43.98:4111/udp/239.77.1.111:5146
内蒙古卫视,http://183.236.43.98:4111/udp/239.77.0.70:5146
内蒙古卫视,http://183.236.43.98:4111/udp/239.77.1.55:5146
宁夏卫视,http://183.236.43.98:4111/udp/239.77.0.49:5146
山西卫视,http://183.236.43.98:4111/udp/239.77.1.74:5146
新疆卫视,http://183.236.43.98:4111/udp/239.77.0.47:5146
云南卫视,http://183.236.43.98:4111/udp/239.253.43.37:5146
云南卫视,http://183.236.43.98:4111/udp/239.253.43.100:5146
