湖南电信-组播1,#genre#
CCTV-12社会与法SD,http://0000505.xyz:8888/rtp/239.254.96.160:9034
CCTV-13新闻SD,http://0000505.xyz:8888/rtp/239.254.96.11:8040
CCTV-14少儿SD,http://0000505.xyz:8888/rtp/239.254.96.162:9046
CCTV-15音乐SD,http://0000505.xyz:8888/rtp/239.254.96.13:8052
CCTV-17农业农村SD,http://0000505.xyz:8888/rtp/239.69.1.153:10554
CCTV4K超高清,http://0000505.xyz:8888/udp/239.76.254.101:9000
CCTV4K超高清,http://0000505.xyz:8888/udp/239.76.254.64:9000
CCTV4K超高清,http://0000505.xyz:8888/rtp/239.69.1.111:10304
CCTV16超高清,http://0000505.xyz:8888/udp/239.76.253.230:9000
CCTV16超高清,http://0000505.xyz:8888/udp/239.76.254.200:9000
CCTV16超高清,http://0000505.xyz:8888/udp/239.76.246.230:1234
CCTV16超高清,http://0000505.xyz:8888/rtp/239.69.1.12:9712
CCTV16超高清,http://0000505.xyz:8888/rtp/239.69.1.249:11136
浙江卫视,http://0000505.xyz:8888/udp/239.76.253.182:9000
浙江卫视,http://0000505.xyz:8888/udp/239.76.246.182:1234
浙江卫视,http://0000505.xyz:8888/rtp/239.254.96.143:8932
江苏卫视,http://0000505.xyz:8888/udp/239.76.253.181:9000
江苏卫视,http://0000505.xyz:8888/udp/239.76.251.89:9000
江苏卫视,http://0000505.xyz:8888/udp/239.76.246.181:1234
江苏卫视,http://0000505.xyz:8888/rtp/239.254.96.144:8938
北京卫视,http://0000505.xyz:8888/udp/239.76.253.184:9000
北京卫视,http://0000505.xyz:8888/udp/239.76.246.184:1234
北京卫视,http://0000505.xyz:8888/rtp/239.254.96.141:8920
东方卫视,http://0000505.xyz:8888/udp/239.76.253.186:9000
东方卫视,http://0000505.xyz:8888/udp/239.76.246.186:1234
东方卫视,http://0000505.xyz:8888/rtp/239.254.96.142:8926
安徽卫视,http://0000505.xyz:8888/udp/239.76.252.196:9000
安徽卫视,http://0000505.xyz:8888/udp/239.76.245.196:1234
安徽卫视,http://0000505.xyz:8888/rtp/239.69.1.70:10060
广东卫视,http://0000505.xyz:8888/udp/239.76.252.189:9000
广东卫视,http://0000505.xyz:8888/udp/239.76.245.189:1234
广东卫视,http://0000505.xyz:8888/rtp/239.254.96.140:8914
深圳卫视,http://0000505.xyz:8888/udp/239.76.253.188:9000
深圳卫视,http://0000505.xyz:8888/udp/239.76.246.188:1234
深圳卫视,http://0000505.xyz:8888/rtp/239.254.96.137:8896
辽宁卫视,http://0000505.xyz:8888/udp/239.76.252.197:9000
辽宁卫视,http://0000505.xyz:8888/udp/239.76.245.197:1234
辽宁卫视,http://0000505.xyz:8888/rtp/239.69.1.71:10066
山东卫视,http://0000505.xyz:8888/udp/239.76.253.195:9000
山东卫视,http://0000505.xyz:8888/udp/239.76.246.195:1234
山东卫视,http://0000505.xyz:8888/rtp/239.69.1.69:10054
天津卫视,http://0000505.xyz:8888/udp/239.76.253.185:9000
天津卫视,http://0000505.xyz:8888/udp/239.76.251.92:9000
天津卫视,http://0000505.xyz:8888/udp/239.76.246.185:1234
天津卫视,http://0000505.xyz:8888/rtp/239.69.1.68:10048
重庆卫视,http://0000505.xyz:8888/udp/239.76.253.92:9000
重庆卫视,http://0000505.xyz:8888/udp/239.76.246.92:1234
重庆卫视,http://0000505.xyz:8888/rtp/239.69.1.149:10530
东南卫视,http://0000505.xyz:8888/udp/239.76.252.190:9000
东南卫视,http://0000505.xyz:8888/udp/239.76.245.190:1234
东南卫视,http://0000505.xyz:8888/rtp/239.69.1.108:10286
河北卫视,http://0000505.xyz:8888/udp/239.76.252.199:9000
河北卫视,http://0000505.xyz:8888/udp/239.76.245.199:1234
河北卫视,http://0000505.xyz:8888/rtp/239.254.96.113:9616
河北卫视,http://0000505.xyz:8888/rtp/239.69.1.157:10578
河南卫视,http://0000505.xyz:8888/udp/239.76.253.202:9000
河南卫视,http://0000505.xyz:8888/udp/239.76.246.202:1234
河南卫视,http://0000505.xyz:8888/rtp/239.69.1.168:10644
湖北卫视,http://0000505.xyz:8888/udp/239.76.253.193:9000
湖北卫视,http://0000505.xyz:8888/udp/239.76.246.193:1234
湖北卫视,http://0000505.xyz:8888/rtp/239.254.96.115:8664
陕西卫视,http://0000505.xyz:8888/udp/239.76.254.76:9000
四川卫视,http://0000505.xyz:8888/udp/239.76.253.91:9000
四川卫视,http://0000505.xyz:8888/udp/239.76.246.91:1234
四川卫视,http://0000505.xyz:8888/rtp/239.69.1.169:10650
海南卫视,http://0000505.xyz:8888/udp/239.76.253.203:9000
海南卫视,http://0000505.xyz:8888/udp/239.76.246.203:1234
甘肃卫视,http://0000505.xyz:8888/udp/239.76.253.94:9000
甘肃卫视,http://0000505.xyz:8888/udp/239.76.246.94:1234
甘肃卫视,http://0000505.xyz:8888/rtp/239.69.2.23:11292
广西卫视,http://0000505.xyz:8888/udp/239.76.254.54:9000
广西卫视,http://0000505.xyz:8888/rtp/239.69.1.191:10788
贵州卫视,http://0000505.xyz:8888/udp/239.76.252.198:9000
贵州卫视,http://0000505.xyz:8888/udp/239.76.245.198:1234
贵州卫视,http://0000505.xyz:8888/rtp/239.69.1.150:10536
黑龙江卫视,http://0000505.xyz:8888/udp/239.76.253.200:9000
黑龙江卫视,http://0000505.xyz:8888/udp/239.76.246.200:1234
黑龙江卫视,http://0000505.xyz:8888/rtp/239.254.96.138:8902
江西卫视,http://0000505.xyz:8888/udp/239.76.252.225:9000
江西卫视,http://0000505.xyz:8888/udp/239.76.245.225:1234
江西卫视,http://0000505.xyz:8888/rtp/239.69.1.126:10394
吉林卫视,http://0000505.xyz:8888/udp/239.76.253.201:9000
吉林卫视,http://0000505.xyz:8888/udp/239.76.246.201:1234
吉林卫视,http://0000505.xyz:8888/rtp/239.69.1.212:10914
宁夏卫视,http://0000505.xyz:8888/rtp/239.69.2.33:11352
新疆卫视,http://0000505.xyz:8888/rtp/239.69.2.30:11334
云南卫视,http://0000505.xyz:8888/udp/239.76.254.60:9000
云南卫视,http://0000505.xyz:8888/rtp/239.69.2.25:11304
青海卫视,http://0000505.xyz:8888/udp/239.76.254.132:9000
青海卫视,http://0000505.xyz:8888/rtp/239.69.2.24:11298
西藏卫视,http://0000505.xyz:8888/rtp/239.69.2.31:11340
兵团卫视,http://0000505.xyz:8888/rtp/239.69.2.32:11346
三沙卫视,http://0000505.xyz:8888/udp/239.76.253.74:9000
三沙卫视,http://0000505.xyz:8888/udp/239.76.246.74:1234
浙江卫视,http://0000505.xyz:8888/rtp/239.254.96.18:8082
江苏卫视,http://0000505.xyz:8888/rtp/239.254.96.17:8076
北京卫视,http://0000505.xyz:8888/rtp/239.254.96.16:8070
东方卫视,http://0000505.xyz:8888/rtp/239.254.96.2:7986
安徽卫视,http://0000505.xyz:8888/rtp/239.254.96.20:8094
广东卫视,http://0000505.xyz:8888/rtp/239.254.96.22:8106
深圳卫视,http://0000505.xyz:8888/rtp/239.254.96.34:8178
辽宁卫视,http://0000505.xyz:8888/rtp/239.254.96.19:8088
山东卫视,http://0000505.xyz:8888/rtp/239.254.96.21:8100
山东教育卫视,http://0000505.xyz:8888/rtp/239.69.1.228:11010
天津卫视,http://0000505.xyz:8888/rtp/239.254.96.29:8148
重庆卫视,http://0000505.xyz:8888/rtp/239.254.96.25:8124
东南卫视,http://0000505.xyz:8888/rtp/239.254.96.26:8130
河北卫视,http://0000505.xyz:8888/rtp/239.254.96.185:9190
河南卫视,http://0000505.xyz:8888/rtp/239.254.96.28:8142
湖北卫视,http://0000505.xyz:8888/rtp/239.254.96.1:7980
陕西卫视,http://0000505.xyz:8888/rtp/239.254.96.186:9196
四川卫视,http://0000505.xyz:8888/rtp/239.254.96.90:8514
甘肃卫视,http://0000505.xyz:8888/rtp/239.254.96.187:9202
广西卫视,http://0000505.xyz:8888/rtp/239.254.96.23:8112
贵州卫视,http://0000505.xyz:8888/rtp/239.254.96.31:8160
黑龙江卫视,http://0000505.xyz:8888/rtp/239.254.96.92:8526
江西卫视,http://0000505.xyz:8888/rtp/239.254.96.27:8136
吉林卫视,http://0000505.xyz:8888/rtp/239.254.96.91:8520
内蒙古卫视,http://0000505.xyz:8888/rtp/239.254.96.41:8220
宁夏卫视,http://0000505.xyz:8888/rtp/239.254.96.97:8556
山西卫视,http://0000505.xyz:8888/rtp/239.254.96.93:8532
新疆卫视,http://0000505.xyz:8888/rtp/239.254.96.47:8256
云南卫视,http://0000505.xyz:8888/rtp/239.254.96.30:8154
青海卫视,http://0000505.xyz:8888/rtp/239.254.96.95:8544
西藏卫视,http://0000505.xyz:8888/rtp/239.254.96.35:8184
兵团卫视,http://0000505.xyz:8888/rtp/239.254.96.48:8262
三沙卫视,http://0000505.xyz:8888/rtp/239.69.1.171:10662
厦门卫视,http://0000505.xyz:8888/rtp/239.69.1.127:10400
浙江卫视4K,http://0000505.xyz:8888/rtp/239.76.254.222:9000
浙江卫视4K,http://0000505.xyz:8888/rtp/239.76.254.220:9000
浙江卫视4K,http://0000505.xyz:8888/rtp/239.69.2.35:11364
浙江卫视4K,http://0000505.xyz:8888/rtp/239.69.1.25:9790
江苏卫视4K,http://0000505.xyz:8888/rtp/239.76.254.216:9000
江苏卫视4K,http://0000505.xyz:8888/rtp/239.76.254.218:9000
江苏卫视4K,http://0000505.xyz:8888/rtp/239.69.1.24:9784
江苏卫视4K,http://0000505.xyz:8888/rtp/239.69.2.36:11370
北京卫视4K,http://0000505.xyz:8888/rtp/239.76.253.150:9000
北京卫视4K,http://0000505.xyz:8888/rtp/239.76.246.150:1234
北京卫视4K,http://0000505.xyz:8888/rtp/239.76.246.246:1234
北京卫视4K,http://0000505.xyz:8888/rtp/239.69.2.22:11286
北京卫视4K,http://0000505.xyz:8888/udp/239.76.253.246:9000
东方卫视4K,http://0000505.xyz:8888/rtp/239.76.254.224:9000
东方卫视4K,http://0000505.xyz:8888/rtp/239.76.254.226:9000
东方卫视4K,http://0000505.xyz:8888/rtp/239.69.2.37:11376
广东卫视4K,http://0000505.xyz:8888/rtp/239.76.254.138:9000
广东卫视4K,http://0000505.xyz:8888/rtp/239.69.2.27:11316
深圳卫视4K,http://0000505.xyz:8888/rtp/239.76.254.137:9000
深圳卫视4K,http://0000505.xyz:8888/rtp/239.69.2.28:11322
山东卫视4K,http://0000505.xyz:8888/rtp/239.76.254.228:9000
山东卫视4K,http://0000505.xyz:8888/rtp/239.76.254.230:9000
山东卫视4K,http://0000505.xyz:8888/rtp/239.69.1.26:9796
山东卫视4K,http://0000505.xyz:8888/rtp/239.69.2.38:11382
四川卫视4K,http://0000505.xyz:8888/rtp/239.76.254.234:9000
四川卫视4K,http://0000505.xyz:8888/rtp/239.76.254.232:9000
四川卫视4K,http://0000505.xyz:8888/rtp/239.69.2.39:11388
四川卫视4K,http://0000505.xyz:8888/rtp/239.69.1.28:9808
