四川电信-组播1,#genre#
iHOT爱悬疑,http://www.zhms.tk:5050/udp/239.94.1.136:5140
iHOT爱幼教,http://www.zhms.tk:5050/udp/239.94.1.139:5140
iHOT爱院线,http://www.zhms.tk:5050/udp/239.94.1.132:5140
爱生活高清专区,http://www.zhms.tk:5050/udp/239.94.1.41:5140
爱宠宠物专区,http://www.zhms.tk:5050/udp/239.94.1.145:5140
爱上4K,http://www.zhms.tk:5050/udp/239.94.0.21:5140
浙江电竞天堂,http://www.zhms.tk:5050/udp/239.94.1.45:5140
江苏优漫卡通,http://www.zhms.tk:5050/udp/239.94.1.31:5140
北京四海钓鱼,http://www.zhms.tk:5050/udp/239.94.1.168:5140
北京环球旅游,http://www.zhms.tk:5050/udp/239.94.1.147:5140
北京戏曲,http://www.zhms.tk:5050/udp/239.94.1.38:5140
北京纪实科教,http://www.zhms.tk:5050/udp/239.94.0.109:5140
北京卡酷少儿,http://www.zhms.tk:5050/udp/239.94.1.29:5140
山西书画频道,http://www.zhms.tk:5050/udp/239.94.1.163:5140
呼和浩特足球,http://www.zhms.tk:5050/udp/239.94.1.47:5140
辽宁家庭理财,http://www.zhms.tk:5050/udp/239.94.1.50:5140
上海东方财经,http://www.zhms.tk:5050/udp/239.94.1.59:5140
上海动漫秀场,http://www.zhms.tk:5050/udp/239.94.1.171:5140
上海游戏风云,http://www.zhms.tk:5050/udp/239.94.1.46:5140
上海乐游,http://www.zhms.tk:5050/udp/239.94.1.164:5140
上海法治天地,http://www.zhms.tk:5050/udp/239.94.1.166:5140
上海都市剧场,http://www.zhms.tk:5050/udp/239.94.1.133:5140
上海多彩文体4K,http://www.zhms.tk:5050/udp/239.94.1.176:5140
上海金色学堂,http://www.zhms.tk:5050/udp/239.94.1.165:5140
上海生活时尚,http://www.zhms.tk:5050/udp/239.94.1.40:5140
上海生活时尚,http://www.zhms.tk:5050/udp/239.94.1.146:5140
江苏财富天下,http://www.zhms.tk:5050/udp/239.94.1.42:5140
江苏财富天下,http://www.zhms.tk:5050/udp/239.94.1.67:5140
