浙江电信-组播1,#genre#
重庆卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.143:5140
东南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.67:5140
东南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.135:5140
东南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.58:5140
东南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.146:5140
河北卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.82:5140
河北卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.105:5140
河北卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.50:5140
河北卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.140:5140
河南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.83:5140
河南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.142:5140
河南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.44:5140
河南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.144:5140
湖北卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.95:5140
湖北卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.147:5140
湖北卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.43:5140
湖北卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.114:5140
陕西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.170:5140
陕西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.172:5140
陕西卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.59:5140
四川卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.70:5140
四川卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.118:5140
四川卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.61:5140
四川卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.139:5140
海南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.62:5140
海南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.165:5140
海南卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.201.55:5140
甘肃卫视,http://maymoon.asuscomm.com:7777/rtp/233.50.200.163:5140
