重庆电信-组播1,#genre#
重庆红叶频道,http://msen.site:8000/rtp/235.254.196.215:1132
重庆红岩文化,http://msen.site:8000/rtp/235.254.198.182:7980

CCTV-1综合,http://msen.site:8000/rtp/235.254.198.51:1480
CCTV-1综合,http://msen.site:8000/rtp/235.254.199.51:7980
CCTV-1综合,http://msen.site:8000/rtp/235.254.199.147:7980
CCTV-2财经,http://msen.site:8000/rtp/235.254.198.52:1484
CCTV-2财经,http://msen.site:8000/rtp/235.254.199.52:7980
CCTV-3综艺,http://msen.site:8000/rtp/235.254.198.53:1488
CCTV-3综艺,http://msen.site:8000/rtp/235.254.199.53:7980
CCTV-4中文国际,http://msen.site:8000/rtp/235.254.198.183:7980
CCTV-4中文国际,http://msen.site:8000/rtp/235.254.199.183:7980
CCTV-5体育,http://msen.site:8000/rtp/235.254.198.54:1492
CCTV-5体育,http://msen.site:8000/rtp/235.254.199.54:7980
CCTV-5体育,http://msen.site:8000/rtp/235.254.199.146:7980
CCTV-5+体育赛事,http://msen.site:8000/rtp/235.254.198.122:1764
CCTV-5+体育赛事,http://msen.site:8000/rtp/235.254.199.121:7980
CCTV-6电影,http://msen.site:8000/rtp/235.254.198.55:1496
CCTV-6电影,http://msen.site:8000/rtp/235.254.199.55:7980
CCTV-7国防军事,http://msen.site:8000/rtp/235.254.198.56:1500
CCTV-7国防军事,http://msen.site:8000/rtp/235.254.199.56:7980
CCTV-8电视剧,http://msen.site:8000/rtp/235.254.198.57:1504
CCTV-8电视剧,http://msen.site:8000/rtp/235.254.199.92:7980
CCTV-8电视剧,http://msen.site:8000/rtp/235.254.199.57:7980
CCTV-9纪录,http://msen.site:8000/rtp/235.254.198.58:1508
CCTV-9纪录,http://msen.site:8000/rtp/235.254.199.58:7980
CCTV-10科教,http://msen.site:8000/rtp/235.254.198.59:1512
CCTV-10科教,http://msen.site:8000/rtp/235.254.199.59:7980
CCTV-11戏曲,http://msen.site:8000/rtp/235.254.198.7:1304
CCTV-11戏曲,http://msen.site:8000/rtp/235.254.197.161:7980
CCTV-12社会与法,http://msen.site:8000/rtp/235.254.198.60:1516
CCTV-12社会与法,http://msen.site:8000/rtp/235.254.199.60:7980
CCTV-13新闻,http://msen.site:8000/rtp/235.254.198.9:1312
CCTV-13新闻,http://msen.site:8000/rtp/235.254.197.162:7980
CCTV-14少儿,http://msen.site:8000/rtp/235.254.198.61:1520
CCTV-14少儿,http://msen.site:8000/rtp/235.254.199.61:7980
CCTV-15音乐,http://msen.site:8000/rtp/235.254.198.11:1320
CCTV-15音乐,http://msen.site:8000/rtp/235.254.197.163:7980
CCTV-17农业农村,http://msen.site:8000/rtp/235.254.198.130:7980
CCTV-17农业农村,http://msen.site:8000/rtp/235.254.199.130:7980
湖南卫视,http://msen.site:8000/rtp/235.254.198.62:1524
湖南卫视,http://msen.site:8000/rtp/235.254.199.62:7980
浙江卫视,http://msen.site:8000/rtp/235.254.198.63:1528
浙江卫视,http://msen.site:8000/rtp/235.254.199.63:7980
