江苏电信-组播1,#genre#
CETV-4职业教育,http://﻿http://49.77.20.134:8118/udp/239.49.0.125:8000
CETV-4职业教育,http://﻿http://49.77.20.134:8118/udp/239.49.0.72:8568
聚鲨环球精选,http://﻿http://49.77.20.134:8118/udp/239.49.0.212:8000
中学生,http://﻿http://49.77.20.134:8118/udp/239.49.1.82:8000
中国天气,http://﻿http://49.77.20.134:8118/udp/239.49.0.94:8000
睛彩竞技,http://﻿http://49.77.20.134:8118/udp/239.49.8.39:8000
睛彩广场舞,http://﻿http://49.77.20.134:8118/udp/239.49.8.64:8000
睛彩青少,http://﻿http://49.77.20.134:8118/udp/239.49.8.46:8000
睛彩篮球,http://﻿http://49.77.20.134:8118/udp/239.49.8.42:8000
江苏优漫卡通,http://﻿http://49.77.20.134:8118/udp/239.49.8.119:8000
江苏优漫卡通,http://﻿http://49.77.20.134:8118/udp/239.49.0.21:8160
江苏优漫卡通,http://﻿http://49.77.20.134:8118/udp/239.49.1.21:6000
北京四海钓鱼,http://﻿http://49.77.20.134:8118/udp/239.49.1.80:8000
北京卡酷少儿,http://﻿http://49.77.20.134:8118/udp/239.49.0.148:8000
山西书画频道,http://﻿http://49.77.20.134:8118/udp/239.49.0.123:8000
上海东方财经,http://﻿http://49.77.20.134:8118/udp/239.49.0.95:8000
上海法治天地,http://﻿http://49.77.20.134:8118/udp/239.49.0.96:8000
上海都市剧场,http://﻿http://49.77.20.134:8118/udp/239.49.0.99:8000
上海生活时尚,http://﻿http://49.77.20.134:8118/udp/239.49.0.97:8000
上海第一财经,http://﻿http://49.77.20.134:8118/udp/239.49.8.37:8000
上海第一财经,http://﻿http://49.77.20.134:8118/udp/239.49.0.30:8232
江苏财富天下,http://﻿http://49.77.20.134:8118/udp/239.49.1.76:8000
河南梨园,http://﻿http://49.77.20.134:8118/udp/239.49.8.193:8000
河南武术世界,http://﻿http://49.77.20.134:8118/udp/239.49.0.205:8000
河南文物宝库,http://﻿http://49.77.20.134:8118/udp/239.49.0.209:8000
湖北快乐垂钓,http://﻿http://49.77.20.134:8118/udp/239.49.0.114:8000
湖南茶频道,http://﻿http://49.77.20.134:8118/udp/239.49.0.146:8000
湖南金鹰纪实,http://﻿http://49.77.20.134:8118/udp/239.49.8.79:8000
湖南金鹰卡通,http://﻿http://49.77.20.134:8118/udp/239.49.8.33:8000
贵州天元围棋,http://﻿http://49.77.20.134:8118/udp/239.49.1.79:8000
精彩推荐,http://﻿http://49.77.20.134:8118/udp/239.49.0.190:9458
精彩推荐,http://﻿http://49.77.20.134:8118/udp/239.49.8.34:8612

南京少儿,http://﻿http://49.77.20.134:8118/udp/239.49.0.45:8000
南京影视,http://﻿http://49.77.20.134:8118/udp/239.49.0.24:8000
南京文旅纪录,http://﻿http://49.77.20.134:8118/udp/239.49.0.38:8000
