2026/09/10 20:13更新,#genre#
麻辣体育,http://s.zssss.eu.org:888/udp/239.94.1.149:5140

四川电信-组播2,#genre#
四川卫视4K,http://www.zhms.tk:5050/udp/239.94.0.115:5140
四川卫视,http://www.zhms.tk:5050/udp/239.94.0.59:5140
四川卫视,http://www.zhms.tk:5050/udp/239.94.0.60:5140

四川乡村,http://www.zhms.tk:5050/udp/239.94.0.77:5140
四川妇儿,http://www.zhms.tk:5050/udp/239.94.0.75:5140
四川影视文艺,http://www.zhms.tk:5050/udp/239.94.0.73:5140
四川文化旅游,http://www.zhms.tk:5050/udp/239.94.0.71:5140
四川新闻,http://www.zhms.tk:5050/udp/239.94.0.72:5140
四川星空购物,http://www.zhms.tk:5050/udp/239.94.0.74:5140
四川科教,http://www.zhms.tk:5050/udp/239.94.0.76:5140
四川经济,http://www.zhms.tk:5050/udp/239.94.0.70:5140

CCTV-1综合,http://www.zhms.tk:5050/udp/239.94.0.1:5140
CCTV-1综合,http://www.zhms.tk:5050/udp/239.94.0.31:5140
CCTV-1综合,http://www.zhms.tk:5050/udp/239.94.2.34:5140
CCTV-1综合,http://www.zhms.tk:5050/udp/239.94.2.69:5140
CCTV-2财经,http://www.zhms.tk:5050/udp/239.94.0.2:5140
CCTV-2财经,http://www.zhms.tk:5050/udp/239.94.2.35:5140
CCTV-2财经,http://www.zhms.tk:5050/udp/239.94.2.70:5140
CCTV-3综艺,http://www.zhms.tk:5050/udp/239.94.0.3:5140
CCTV-3综艺,http://www.zhms.tk:5050/udp/239.94.0.32:5140
CCTV-4中文国际,http://www.zhms.tk:5050/udp/239.94.0.4:5140
CCTV-5体育,http://www.zhms.tk:5050/udp/239.94.0.5:5140
CCTV-5体育,http://www.zhms.tk:5050/udp/239.94.0.33:5140
CCTV-5体育,http://www.zhms.tk:5050/udp/239.94.2.30:5140
CCTV-5+体育赛事,http://www.zhms.tk:5050/udp/239.94.0.19:5140
CCTV-5+体育赛事,http://www.zhms.tk:5050/udp/239.94.0.23:5140
CCTV-6电影,http://www.zhms.tk:5050/udp/239.94.0.6:5140
CCTV-6电影,http://www.zhms.tk:5050/udp/239.94.0.34:5140
CCTV-6电影,http://www.zhms.tk:5050/udp/239.94.2.33:5140
CCTV-7国防军事,http://www.zhms.tk:5050/udp/239.94.0.7:5140
CCTV-8电视剧,http://www.zhms.tk:5050/udp/239.94.0.8:5140
CCTV-8电视剧,http://www.zhms.tk:5050/udp/239.94.0.35:5140
CCTV-8电视剧,http://www.zhms.tk:5050/udp/239.94.2.29:5140
CCTV-9纪录,http://www.zhms.tk:5050/udp/239.94.0.9:5140
CCTV-9纪录,http://www.zhms.tk:5050/udp/239.94.2.32:5140
CCTV-10科教,http://www.zhms.tk:5050/udp/239.94.0.10:5140
CCTV-10科教,http://www.zhms.tk:5050/udp/239.94.2.31:5140
CCTV-11戏曲,http://www.zhms.tk:5050/udp/239.94.0.11:5140
CCTV-11戏曲,http://www.zhms.tk:5050/udp/239.94.0.36:5140
CCTV-12社会与法,http://www.zhms.tk:5050/udp/239.94.0.12:5140
CCTV-13新闻,http://www.zhms.tk:5050/udp/239.94.0.13:5140
CCTV-13新闻,http://www.zhms.tk:5050/udp/239.94.0.37:5140
CCTV-14少儿,http://www.zhms.tk:5050/udp/239.94.0.14:5140
CCTV-15音乐,http://www.zhms.tk:5050/udp/239.94.0.15:5140
